## Combination-1 (သင်ရိုးသရ)

က ကာ ကိ ကီး ကု ကူး ကေး ကဲ့ ကော့ ကော် ကံ့ ကား။
ဖွက် ဖွင်း ဖွစ် ဖွည်း ဖွတ် ဖွန်း ဖွပ် ဖွမ်း ဖွယ့်။

ဗွက် ဗွင်း ဗွစ် ဗွည်း ဗွတ် ဗွန်း ဗွပ် ဗွမ်း ဗွယ့်။

ဘွက် ဘွင်း ဘွစ် ဘွည်း ဘွတ် ဘွန်း ဘွပ် ဘွမ်း ဘွယ့်။

မွက် မွင်း မွစ် မွည်း မွတ် မွန်း မွပ် မွမ်း မွယ့်။

ယွက် ယွင်း ယွစ် ယွည်း ယွတ် ယွန်း ယွပ် ယွမ်း ယွယ့်။

ရွက် ရွင်း ရွစ် ရွည်း ရွတ် ရွန်း ရွပ် ရွမ်း ရွယ့်။

လွက် လွင်း လွစ် လွည်း လွတ် လွန်း လွပ် လွမ်း လွယ့်။

သွက် သွင်း သွစ် သွည်း သွတ် သွန်း သွပ် သွမ်း သွယ့်။

ဟွက် ဟွင်း ဟွစ် ဟွည်း ဟွတ် ဟွန်း ဟွပ် ဟွမ်း ဟွယ့်။

ဠွက် ဠွင်း ဠွစ် ဠွည်း ဠွတ် ဠွန်း ဠွပ် ဠွမ်း ဠွယ့်။

အွက် အွင်း အွစ် အွည်း အွတ် အွန်း အွပ် အွမ်း အွယ့်။

## Combination-18 (ဗျည်း-ယပင်း-ဝဆွဲ-အသတ်)

ကျွက် ကျွင်း ကျွစ် ကျွည်း ကျွတ် ကျွန်း ကျွပ် ကျွမ်း ကျွယ့်။

ချွက် ချွင်း ချွစ် ချွည်း ချွတ် ချွန်း ချွပ် ချွမ်း ချွယ့်။

ဂျွက် ဂျွင်း ဂျွစ် ဂျွည်း ဂျွတ် ဂျွန်း ဂျွပ် ဂျွမ်း ဂျွယ့်။

ပျွက် ပျွင်း ပျွစ် ပျွည်း ပျွတ် ပျွန်း ပျွပ် ပျွမ်း ပျွယ့်။

ဖျွက် ဖျွင်း ဖျွစ် ဖျွည်း ဖျွတ် ဖျွန်း ဖျွပ် ဖျွမ်း ဖျွယ့်။

